"","name","id","class","mass","fall_found","year","lat","long"
"640","Sayh al Uhaymir ",56095,"H5",1031.7,"Found",2011,20.59947,57.14294
"641","Dhofar ",56096,"H4",590.1,"Found",2011,18.53958,54.57358
"642","Dhofar ",56097,"L4",7.49,"Found",2011,18.73244,54.37936
"643","Jiddat al Harasis ",56104,"L3.6",2191.4,"Found",2011,19.95119,56.32686
"644","Dhofar ",56105,"CV3",40.8,"Found",2011,18.86958,54.22956
"645","Dhofar ",56106,"Lunar (feldsp. breccia)",15.1,"Found",2011,18.71122,54.160306
"647","Spruce ",56165,"L5",983,"Found",2011,40.801,-114.701
"648","Spruce ",56166,"L6",18,"Found",2011,40.792,-114.708
"649","El Mdano ",56171,"H4",27,"Found",2011,-24.85,-70.53333
"650","El Mdano ",56172,"H5",57,"Found",2011,-24.85,-70.53333
"651","El Mdano ",56173,"L6",22,"Found",2011,-24.85,-70.53333
"652","El Mdano ",56174,"H4",23,"Found",2011,-24.85,-70.53333
"653","El Mdano ",56175,"H4",22,"Found",2011,-24.85,-70.53333
"654","El Mdano ",56176,"H5",11.5,"Found",2011,-24.85,-70.53333
"655","El Mdano ",56177,"H5",15.8,"Found",2011,-24.85,-70.53333
"656","El Mdano ",56178,"L6",20.4,"Found",2011,-24.85,-70.53333
"657","El Mdano ",56179,"H4",125,"Found",2011,-24.85,-70.53333
"658","El Mdano ",56180,"H6",65,"Found",2011,-24.85,-70.53333
"659","Dhofar ",56182,"H4",13.23,"Found",2011,19.43382,54.69043
"660","Dhofar ",56183,"H5",4388,"Found",2011,19.36518,54.51565
"661","Dhofar ",56184,"H6",13.02,"Found",2011,19.36222,54.51893
"662","Dhofar ",56185,"H4",184.3,"Found",2011,19.37243,54.52335
"663","Dhofar ",56186,"H4",29.2,"Found",2011,19.26465,54.49753
"664","Dhofar ",56187,"H5",153,"Found",2011,19.2701,54.49733
"665","Dhofar ",56188,"L6",9.22,"Found",2011,19.6457,54.24753
"666","Dhofar ",56189,"H5",318.6,"Found",2011,19.65395,54.2377
"667","Dhofar ",56190,"H5",199.9,"Found",2011,19.61972,54.14843
"668","Dhofar ",56191,"H5",769.3,"Found",2011,19.61977,54.14807
"669","Dhofar ",56192,"H4",188.6,"Found",2011,19.55838,54.12582
"670","Dhofar ",56193,"L6",394.6,"Found",2011,18.0901,54.08788
"671","Dhofar ",56194,"L5",52.5,"Found",2011,18.18535,54.269
"672","Dhofar ",56195,"H5",22.3,"Found",2011,18.188,54.2698
"673","Dhofar ",56196,"H5",700.5,"Found",2011,18.20358,54.29502
"674","Dhofar ",56197,"H5-6",105.5,"Found",2011,18.21135,54.2995
"675","Dhofar ",56198,"L6",1568,"Found",2011,18.38863,54.5411
"676","Dhofar ",56199,"L4",1049,"Found",2011,18.46253,54.65335
"677","Shalim ",56200,"H5",84.4,"Found",2011,18.65148,55.14188
"678","Shalim ",56201,"H5",127.1,"Found",2011,18.65388,55.1467
"679","Shalim ",56202,"H4",347.8,"Found",2011,18.89837,55.58187
"680","Shalim ",56203,"H4",19.21,"Found",2011,18.911,55.5569
"681","Shalim ",56204,"H4-6",24.9,"Found",2011,18.91123,55.55702
"682","Sayh al Uhaymir ",56205,"L5",2353,"Found",2011,20.09977,56.70507
"683","Sayh al Uhaymir ",56206,"H4",53.8,"Found",2011,20.23798,56.93035
