"","name","class","mass","fall_found","year","lat","long","continent","country","iso3","masscategory"
"8423","jiddat al harasis","l",159.59,"Found",2005,19.81463,56.44852,"Asia","Oman","OMN","greater than 100g"
"8424","jiddat al harasis","l",208.35,"Found",2005,19.81988,56.44577,"Asia","Oman","OMN","greater than 100g"
"8425","jiddat al harasis","l",181.59,"Found",2005,19.81995,56.44628,"Asia","Oman","OMN","greater than 100g"
"8426","jiddat al harasis","l",288.51,"Found",2005,19.82838,56.44243,"Asia","Oman","OMN","greater than 100g"
"8427","jiddat al harasis","l",60.21,"Found",2005,19.89668,56.33102,"Asia","Oman","OMN","10g to 100g"
"8428","jiddat al harasis","l",39.54,"Found",2005,19.89125,56.33092,"Asia","Oman","OMN","10g to 100g"
"8429","jiddat al harasis","l",46.98,"Found",2005,19.88368,56.33967,"Asia","Oman","OMN","10g to 100g"
"8430","jiddat al harasis","l",49.77,"Found",2005,19.89187,56.33047,"Asia","Oman","OMN","10g to 100g"
"8431","jiddat al harasis","l",620.9,"Found",2005,19.66717,55.721,"Asia","Oman","OMN","greater than 100g"
"8432","jiddat al harasis","l",43.9,"Found",2005,19.67332,55.70812,"Asia","Oman","OMN","10g to 100g"
"8433","jiddat al harasis","l",3034.5,"Found",2005,19.71095,55.71473,"Asia","Oman","OMN","greater than 100g"
"8434","jiddat al harasis","h",378.74,"Found",2005,19.74242,55.7009,"Asia","Oman","OMN","greater than 100g"
"8435","jiddat al harasis","l",3489,"Found",2005,19.71902,55.70425,"Asia","Oman","OMN","greater than 100g"
"8436","jiddat al harasis","l",1899.7,"Found",2005,19.7216,55.70785,"Asia","Oman","OMN","greater than 100g"
"8437","jiddat al harasis","h",80.81,"Found",2005,19.7216,55.70785,"Asia","Oman","OMN","10g to 100g"
"8438","jiddat al harasis","h",209.72,"Found",2005,19.65315,55.69378,"Asia","Oman","OMN","greater than 100g"
"8439","ramlat as sahmah","l",988.4,"Found",2005,20.01812,56.42172,"Asia","Oman","OMN","greater than 100g"
"8440","ramlat as sahmah","h",111.51,"Found",2005,20.47393,55.93367,"Asia","Oman","OMN","greater than 100g"
"8441","ramlat as sahmah","h",43.2,"Found",2005,20.56537,56.16462,"Asia","Oman","OMN","10g to 100g"
"8442","ramlat as sahmah","h",85.23,"Found",2005,20.59585,56.15363,"Asia","Oman","OMN","10g to 100g"
"8443","ramlat as sahmah","h",205.43,"Found",2005,20.59672,56.15298,"Asia","Oman","OMN","greater than 100g"
"8444","ramlat as sahmah","l",120.08,"Found",2005,20.59518,56.1551,"Asia","Oman","OMN","greater than 100g"
"8445","ramlat as sahmah","h",85.19,"Found",2005,20.71778,56.35607,"Asia","Oman","OMN","10g to 100g"
